spay_neuter,zip_code,year,month,day,day_of_week,bronx,brooklyn,manhattan,queens,staten_island,pit_bull,other,shih_tzu,chihuahua,german_shepherd,labrador_retriever,bull_dog,yorkshire_terrier,maltese,standard_poodle,husky
False,11220,2018,1,1,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11208,2018,1,4,3,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11224,2018,1,6,5,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
False,11231,2018,1,8,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11224,2018,1,9,1,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
False,11231,2018,1,3,2,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11208,2018,1,1,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11233,2018,1,3,2,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
False,11235,2018,1,4,3,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
False,11208,2018,1,10,2,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11215,2018,1,6,5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
True,11208,2018,1,7,6,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
True,11208,2018,1,6,5,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11220,2018,1,1,0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
True,11238,2018,1,9,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11207,2018,1,1,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11205,2018,1,14,6,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
False,11209,2018,1,7,6,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
False,11237,2018,1,13,5,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11233,2018,1,10,2,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
True,11217,2018,1,15,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
True,11236,2018,1,13,5,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
False,11234,2018,1,13,5,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11220,2018,1,9,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11208,2018,1,1,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
True,11220,2018,1,18,3,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
True,11215,2018,1,8,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
True,11214,2018,1,18,3,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
True,11230,2018,1,18,3,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
False,11211,2018,1,17,2,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11224,2018,1,20,5,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
True,11231,2018,1,21,6,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
False,11225,2018,1,23,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11225,2018,1,23,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11205,2018,1,23,1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
False,11208,2018,1,15,0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
False,11210,2018,1,23,1,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
False,11233,2018,1,24,2,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
True,11223,2018,1,28,6,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11224,2018,1,27,5,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
False,11214,2018,1,28,6,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11232,2018,1,29,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11226,2018,1,27,5,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11214,2018,1,28,6,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11233,2018,2,1,3,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11215,2018,1,31,2,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
False,11208,2018,2,1,3,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
True,11201,2018,1,29,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11212,2018,2,2,4,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
False,11212,2018,2,5,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11236,2018,2,5,0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
False,11208,2018,1,31,2,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
False,11201,2018,2,4,6,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
