date_of_bite,year,month,day,day_of_week,borough,zip_code,latitude,longitude,spay_neuter,mixed/other,pit_bull,german_shepherd,shih_tzu,chihuahua,yorkshire_terrier,bull_dog,labrador_retriever,maltese,husky,standard_poodle,cluster
2018-01-01,2018,1,1,0,brooklyn,11220,40.641026,-74.016688,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-01-06,2018,1,6,5,brooklyn,11224,40.577372,-73.988706,False,False,True,False,False,False,False,False,False,False,False,False,0
2018-01-08,2018,1,8,0,brooklyn,11231,40.677916,-74.005154,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-01-09,2018,1,9,1,brooklyn,11224,40.577372,-73.988706,False,False,True,False,False,False,False,False,False,False,False,False,0
2018-01-03,2018,1,3,2,brooklyn,11231,40.677916,-74.005154,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-01-03,2018,1,3,2,brooklyn,11233,40.678301,-73.919932,False,False,True,False,False,False,False,False,False,False,False,False,0
2018-01-04,2018,1,4,3,brooklyn,11235,40.58422,-73.943167,False,False,True,False,False,False,False,False,False,False,False,False,0
2018-01-10,2018,1,10,2,brooklyn,11208,40.674847,-73.87248,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-01-06,2018,1,6,5,brooklyn,11215,40.662688,-73.98674,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-01-07,2018,1,7,6,brooklyn,11208,40.674847,-73.87248,True,False,False,False,False,False,True,False,False,False,False,False,0
2018-01-01,2018,1,1,0,brooklyn,11220,40.641026,-74.016688,False,False,True,False,False,False,False,False,False,False,False,False,0
2018-01-09,2018,1,9,1,brooklyn,11238,40.671331,-73.965937,True,True,False,False,False,False,False,False,False,False,False,False,0
2018-01-01,2018,1,1,0,brooklyn,11207,40.670157,-73.893835,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-01-14,2018,1,14,6,brooklyn,11205,40.696891,-73.968074,False,False,True,False,False,False,False,False,False,False,False,False,0
2018-01-07,2018,1,7,6,brooklyn,11209,40.621803,-74.03015,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-01-13,2018,1,13,5,brooklyn,11237,40.70416,-73.921139,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-01-10,2018,1,10,2,brooklyn,11233,40.678301,-73.919932,False,False,True,False,False,False,False,False,False,False,False,False,0
2018-01-15,2018,1,15,0,brooklyn,11217,40.681671,-73.978529,True,True,False,False,False,False,False,False,False,False,False,False,0
2018-01-13,2018,1,13,5,brooklyn,11236,40.639413,-73.900664,True,False,True,False,False,False,False,False,False,False,False,False,0
2018-01-13,2018,1,13,5,brooklyn,11234,40.607723,-73.910649,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-01-09,2018,1,9,1,brooklyn,11220,40.641026,-74.016688,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-01-18,2018,1,18,3,brooklyn,11220,40.641026,-74.016688,True,True,False,False,False,False,False,False,False,False,False,False,0
2018-01-08,2018,1,8,0,brooklyn,11215,40.662688,-73.98674,True,False,False,False,False,False,False,False,False,False,False,True,0
2018-01-18,2018,1,18,3,brooklyn,11214,40.59969,-73.996372,True,False,False,False,False,False,False,False,True,False,False,False,0
2018-01-18,2018,1,18,3,brooklyn,11230,40.622089,-73.96519,True,False,True,False,False,False,False,False,False,False,False,False,0
2018-01-17,2018,1,17,2,brooklyn,11211,40.714084,-73.945168,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-01-20,2018,1,20,5,brooklyn,11224,40.577372,-73.988706,False,False,True,False,False,False,False,False,False,False,False,False,0
2018-01-21,2018,1,21,6,brooklyn,11231,40.677916,-74.005154,True,True,False,False,False,False,False,False,False,False,False,False,0
2018-01-23,2018,1,23,1,brooklyn,11225,40.663119,-73.953867,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-01-23,2018,1,23,1,brooklyn,11225,40.663119,-73.953867,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-01-23,2018,1,23,1,brooklyn,11205,40.696891,-73.968074,False,False,False,False,False,True,False,False,False,False,False,False,0
2018-01-15,2018,1,15,0,brooklyn,11208,40.674847,-73.87248,False,False,True,False,False,False,False,False,False,False,False,False,0
2018-01-23,2018,1,23,1,brooklyn,11210,40.62806,-73.946309,False,False,False,False,False,False,True,False,False,False,False,False,0
2018-01-24,2018,1,24,2,brooklyn,11233,40.678301,-73.919932,False,False,False,False,True,False,False,False,False,False,False,False,0
2018-01-28,2018,1,28,6,brooklyn,11223,40.597091,-73.973469,True,True,False,False,False,False,False,False,False,False,False,False,0
2018-01-27,2018,1,27,5,brooklyn,11224,40.577372,-73.988706,False,False,False,False,False,False,False,False,False,True,False,False,0
2018-01-28,2018,1,28,6,brooklyn,11214,40.59969,-73.996372,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-01-29,2018,1,29,0,brooklyn,11232,40.656541,-74.005182,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-01-27,2018,1,27,5,brooklyn,11226,40.646409,-73.956663,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-01-28,2018,1,28,6,brooklyn,11214,40.59969,-73.996372,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-02-01,2018,2,1,3,brooklyn,11233,40.678301,-73.919932,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-01-31,2018,1,31,2,brooklyn,11215,40.662688,-73.98674,False,False,False,False,True,False,False,False,False,False,False,False,0
2018-01-29,2018,1,29,0,brooklyn,11201,40.6937,-73.989859,True,True,False,False,False,False,False,False,False,False,False,False,0
2018-02-02,2018,2,2,4,brooklyn,11212,40.662905,-73.913071,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-02-05,2018,2,5,0,brooklyn,11212,40.662905,-73.913071,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-02-05,2018,2,5,0,brooklyn,11236,40.639413,-73.900664,False,False,False,True,False,False,False,False,False,False,False,False,0
2018-02-04,2018,2,4,6,brooklyn,11201,40.6937,-73.989859,False,False,True,False,False,False,False,False,False,False,False,False,0
2018-02-04,2018,2,4,6,brooklyn,11211,40.714084,-73.945168,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-01-29,2018,1,29,0,brooklyn,11236,40.639413,-73.900664,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-01-21,2018,1,21,6,brooklyn,11207,40.670157,-73.893835,False,False,True,False,False,False,False,False,False,False,False,False,0
2018-01-21,2018,1,21,6,brooklyn,11207,40.670157,-73.893835,False,False,True,False,False,False,False,False,False,False,False,False,0
2018-02-09,2018,2,9,4,brooklyn,11233,40.678301,-73.919932,False,False,False,False,False,True,False,False,False,False,False,False,0
2018-02-07,2018,2,7,2,brooklyn,11216,40.680844,-73.949222,False,False,True,False,False,False,False,False,False,False,False,False,0
2018-02-13,2018,2,13,1,brooklyn,11231,40.677916,-74.005154,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-02-05,2018,2,5,0,brooklyn,11234,40.607723,-73.910649,False,False,True,False,False,False,False,False,False,False,False,False,0
2018-02-12,2018,2,12,0,brooklyn,11235,40.58422,-73.943167,False,False,False,True,False,False,False,False,False,False,False,False,0
2018-02-15,2018,2,15,3,brooklyn,11215,40.662688,-73.98674,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-02-10,2018,2,10,5,brooklyn,11239,40.64689,-73.864014,True,False,False,False,False,False,False,False,True,False,False,False,0
2018-02-16,2018,2,16,4,brooklyn,11236,40.639413,-73.900664,False,False,False,False,True,False,False,False,False,False,False,False,0
2018-02-14,2018,2,14,2,brooklyn,11216,40.680844,-73.949222,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-02-19,2018,2,19,0,brooklyn,11231,40.677916,-74.005154,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-02-20,2018,2,20,1,brooklyn,11216,40.680844,-73.949222,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-02-16,2018,2,16,4,brooklyn,11209,40.621803,-74.03015,True,True,False,False,False,False,False,False,False,False,False,False,0
2018-02-19,2018,2,19,0,brooklyn,11212,40.662905,-73.913071,False,False,True,False,False,False,False,False,False,False,False,False,0
2018-02-17,2018,2,17,5,brooklyn,11230,40.622089,-73.96519,True,False,False,False,False,False,False,False,False,False,False,True,0
2018-02-11,2018,2,11,6,brooklyn,11220,40.641026,-74.016688,False,True,False,False,False,False,False,False,False,False,False,False,0
