spay_neuter,borough,year,month,day_of_week,latitude,longitude,mixed/other,pit_bull,shih_tzu,chihuahua,german_shepherd,yorkshire_terrier
False,brooklyn,2018,1,0,40.641026,-74.016688,True,False,False,False,False,False
False,brooklyn,2018,1,5,40.577372,-73.988706,False,True,False,False,False,False
False,brooklyn,2018,1,0,40.677916,-74.005154,True,False,False,False,False,False
False,brooklyn,2018,1,1,40.577372,-73.988706,False,True,False,False,False,False
False,brooklyn,2018,1,2,40.677916,-74.005154,True,False,False,False,False,False
False,brooklyn,2018,1,2,40.678301,-73.919932,False,True,False,False,False,False
False,brooklyn,2018,1,3,40.58422,-73.943167,False,True,False,False,False,False
False,brooklyn,2018,1,2,40.674847,-73.87248,True,False,False,False,False,False
False,brooklyn,2018,1,5,40.662688,-73.98674,True,False,False,False,False,False
True,brooklyn,2018,1,6,40.674847,-73.87248,False,False,False,False,False,True
False,brooklyn,2018,1,0,40.641026,-74.016688,False,True,False,False,False,False
True,brooklyn,2018,1,1,40.671331,-73.965937,True,False,False,False,False,False
False,brooklyn,2018,1,0,40.670157,-73.893835,True,False,False,False,False,False
False,brooklyn,2018,1,6,40.696891,-73.968074,False,True,False,False,False,False
False,brooklyn,2018,1,6,40.621803,-74.03015,True,False,False,False,False,False
False,brooklyn,2018,1,5,40.70416,-73.921139,True,False,False,False,False,False
False,brooklyn,2018,1,2,40.678301,-73.919932,False,True,False,False,False,False
True,brooklyn,2018,1,0,40.681671,-73.978529,True,False,False,False,False,False
True,brooklyn,2018,1,5,40.639413,-73.900664,False,True,False,False,False,False
False,brooklyn,2018,1,5,40.607723,-73.910649,True,False,False,False,False,False
False,brooklyn,2018,1,1,40.641026,-74.016688,True,False,False,False,False,False
True,brooklyn,2018,1,3,40.641026,-74.016688,True,False,False,False,False,False
True,brooklyn,2018,1,0,40.662688,-73.98674,True,False,False,False,False,False
True,brooklyn,2018,1,3,40.59969,-73.996372,True,False,False,False,False,False
True,brooklyn,2018,1,3,40.622089,-73.96519,False,True,False,False,False,False
False,brooklyn,2018,1,2,40.714084,-73.945168,True,False,False,False,False,False
False,brooklyn,2018,1,5,40.577372,-73.988706,False,True,False,False,False,False
True,brooklyn,2018,1,6,40.677916,-74.005154,True,False,False,False,False,False
False,brooklyn,2018,1,1,40.663119,-73.953867,True,False,False,False,False,False
False,brooklyn,2018,1,1,40.663119,-73.953867,True,False,False,False,False,False
False,brooklyn,2018,1,1,40.696891,-73.968074,False,False,False,True,False,False
False,brooklyn,2018,1,0,40.674847,-73.87248,False,True,False,False,False,False
False,brooklyn,2018,1,1,40.62806,-73.946309,False,False,False,False,False,True
False,brooklyn,2018,1,2,40.678301,-73.919932,False,False,True,False,False,False
True,brooklyn,2018,1,6,40.597091,-73.973469,True,False,False,False,False,False
False,brooklyn,2018,1,5,40.577372,-73.988706,True,False,False,False,False,False
False,brooklyn,2018,1,6,40.59969,-73.996372,True,False,False,False,False,False
False,brooklyn,2018,1,0,40.656541,-74.005182,True,False,False,False,False,False
False,brooklyn,2018,1,5,40.646409,-73.956663,True,False,False,False,False,False
False,brooklyn,2018,1,6,40.59969,-73.996372,True,False,False,False,False,False
False,brooklyn,2018,2,3,40.678301,-73.919932,True,False,False,False,False,False
False,brooklyn,2018,1,2,40.662688,-73.98674,False,False,True,False,False,False
True,brooklyn,2018,1,0,40.6937,-73.989859,True,False,False,False,False,False
False,brooklyn,2018,2,4,40.662905,-73.913071,True,False,False,False,False,False
False,brooklyn,2018,2,0,40.662905,-73.913071,True,False,False,False,False,False
False,brooklyn,2018,2,0,40.639413,-73.900664,False,False,False,False,True,False
False,brooklyn,2018,2,6,40.6937,-73.989859,False,True,False,False,False,False
False,brooklyn,2018,2,6,40.714084,-73.945168,True,False,False,False,False,False
False,brooklyn,2018,1,0,40.639413,-73.900664,True,False,False,False,False,False
False,brooklyn,2018,1,6,40.670157,-73.893835,False,True,False,False,False,False
False,brooklyn,2018,1,6,40.670157,-73.893835,False,True,False,False,False,False
False,brooklyn,2018,2,4,40.678301,-73.919932,False,False,False,True,False,False
False,brooklyn,2018,2,2,40.680844,-73.949222,False,True,False,False,False,False
False,brooklyn,2018,2,1,40.677916,-74.005154,True,False,False,False,False,False
False,brooklyn,2018,2,0,40.607723,-73.910649,False,True,False,False,False,False
False,brooklyn,2018,2,0,40.58422,-73.943167,False,False,False,False,True,False
False,brooklyn,2018,2,3,40.662688,-73.98674,True,False,False,False,False,False
True,brooklyn,2018,2,5,40.64689,-73.864014,True,False,False,False,False,False
False,brooklyn,2018,2,4,40.639413,-73.900664,False,False,True,False,False,False
False,brooklyn,2018,2,2,40.680844,-73.949222,True,False,False,False,False,False
False,brooklyn,2018,2,0,40.677916,-74.005154,True,False,False,False,False,False
False,brooklyn,2018,2,1,40.680844,-73.949222,True,False,False,False,False,False
True,brooklyn,2018,2,4,40.621803,-74.03015,True,False,False,False,False,False
False,brooklyn,2018,2,0,40.662905,-73.913071,False,True,False,False,False,False
True,brooklyn,2018,2,5,40.622089,-73.96519,True,False,False,False,False,False
False,brooklyn,2018,2,6,40.641026,-74.016688,True,False,False,False,False,False
True,brooklyn,2018,2,5,40.6937,-73.989859,True,False,False,False,False,False
False,brooklyn,2018,2,2,40.677916,-74.005154,True,False,False,False,False,False
True,brooklyn,2018,2,2,40.63262,-73.99677,True,False,False,False,False,False
True,brooklyn,2018,2,4,40.59969,-73.996372,False,False,False,True,False,False
False,brooklyn,2018,2,3,40.678301,-73.919932,False,True,False,False,False,False
True,brooklyn,2018,2,5,40.639413,-73.900664,False,True,False,False,False,False
False,brooklyn,2018,2,6,40.607723,-73.910649,False,False,False,False,False,True
False,brooklyn,2018,2,5,40.678301,-73.919932,True,False,False,False,False,False
False,brooklyn,2018,2,6,40.64312,-73.976446,False,True,False,False,False,False
True,brooklyn,2018,2,0,40.59969,-73.996372,True,False,False,False,False,False
False,brooklyn,2018,2,1,40.674847,-73.87248,False,True,False,False,False,False
False,brooklyn,2018,2,0,40.641026,-74.016688,True,False,False,False,False,False
False,brooklyn,2018,2,5,40.678301,-73.919932,False,True,False,False,False,False
True,brooklyn,2018,2,0,40.6937,-73.989859,True,False,False,False,False,False
False,brooklyn,2018,3,6,40.70187,-73.942552,True,False,False,False,False,False
True,brooklyn,2018,3,5,40.674847,-73.87248,True,False,False,False,False,False
False,brooklyn,2018,3,4,40.621803,-74.03015,True,False,False,False,False,False
False,brooklyn,2018,3,6,40.662688,-73.98674,True,False,False,False,False,False
True,brooklyn,2018,3,6,40.607723,-73.910649,True,False,False,False,False,False
False,brooklyn,2018,3,0,40.663119,-73.953867,True,False,False,False,False,False
True,brooklyn,2018,2,2,40.621803,-74.03015,True,False,False,False,False,False
False,brooklyn,2018,3,0,40.662688,-73.98674,True,False,False,False,False,False
False,brooklyn,2018,3,1,40.641026,-74.016688,False,True,False,False,False,False
True,brooklyn,2018,3,1,40.601293,-73.944493,True,False,False,False,False,False
False,brooklyn,2018,3,5,40.607723,-73.910649,True,False,False,False,False,False
False,brooklyn,2018,2,2,40.63262,-73.99677,False,False,False,False,True,False
False,brooklyn,2018,3,6,40.639413,-73.900664,True,False,False,False,False,False
False,brooklyn,2018,2,3,40.662905,-73.913071,True,False,False,False,False,False
True,brooklyn,2018,3,6,40.607723,-73.910649,False,True,False,False,False,False
False,brooklyn,2018,3,0,40.63262,-73.99677,True,False,False,False,False,False
False,brooklyn,2018,3,6,40.677916,-74.005154,False,True,False,False,False,False
False,brooklyn,2018,3,4,40.72779,-73.947605,True,False,False,False,False,False
True,brooklyn,2018,3,3,40.641026,-74.016688,True,False,False,False,False,False
False,brooklyn,2018,3,5,40.601293,-73.944493,True,False,False,False,False,False
True,brooklyn,2018,3,5,40.70187,-73.942552,True,False,False,False,False,False
True,brooklyn,2018,3,5,40.597091,-73.973469,True,False,False,False,False,False
False,brooklyn,2018,3,6,40.680844,-73.949222,False,True,False,False,False,False
False,brooklyn,2018,3,6,40.714084,-73.945168,True,False,False,False,False,False
False,brooklyn,2018,3,6,40.674847,-73.87248,True,False,False,False,False,False
False,brooklyn,2018,3,5,40.649569,-73.934327,True,False,False,False,False,False
True,brooklyn,2018,3,6,40.70187,-73.942552,True,False,False,False,False,False
False,brooklyn,2018,3,1,40.621803,-74.03015,True,False,False,False,False,False
False,brooklyn,2018,3,3,40.662688,-73.98674,True,False,False,False,False,False
False,brooklyn,2018,3,5,40.671331,-73.965937,True,False,False,False,False,False
False,brooklyn,2018,3,2,40.680844,-73.949222,True,False,False,False,False,False
False,brooklyn,2018,3,6,40.646409,-73.956663,True,False,False,False,False,False
True,brooklyn,2018,3,0,40.663119,-73.953867,True,False,False,False,False,False
False,brooklyn,2018,3,3,40.618815,-73.984942,True,False,False,False,False,False
True,brooklyn,2018,3,6,40.662688,-73.98674,True,False,False,False,False,False
True,brooklyn,2018,3,4,40.64312,-73.976446,True,False,False,False,False,False
False,brooklyn,2018,3,0,40.670157,-73.893835,False,True,False,False,False,False
False,brooklyn,2018,3,4,40.621803,-74.03015,False,False,True,False,False,False
False,brooklyn,2018,3,0,40.670157,-73.893835,False,True,False,False,False,False
True,brooklyn,2018,3,2,40.691426,-73.927626,False,True,False,False,False,False
False,brooklyn,2018,3,3,40.70416,-73.921139,False,False,True,False,False,False
False,brooklyn,2018,3,4,40.646409,-73.956663,True,False,False,False,False,False
